"Comparison"	"Gene"	"diff"	"adj.p_value"
"94"	"retreat-net"	"fcc"	0.0559501212499999	0.692624921956029
"95"	"rock-net"	"fcc"	-0.02758125375	0.946037696882062
"96"	"rock-retreat"	"fcc"	-0.083531375	0.388601271334206
"97"	"net-fly"	"FeFe_hyd"	-0.75768775475	4.04631883554885e-12
"98"	"retreat-fly"	"FeFe_hyd"	-0.7356023295	5.5166982093624e-12
"99"	"rock-fly"	"FeFe_hyd"	-0.77708120075	3.22941673402966e-12
"100"	"retreat-net"	"FeFe_hyd"	0.0220854252499999	0.82677304362749
"101"	"rock-net"	"FeFe_hyd"	-0.0193934460000001	0.874152760647854
"102"	"rock-retreat"	"FeFe_hyd"	-0.04147887125	0.410367226185149
"103"	"net-fly"	"Fe_hyd"	0	NA
"104"	"retreat-fly"	"Fe_hyd"	0	NA
"105"	"rock-fly"	"Fe_hyd"	0	NA
"106"	"retreat-net"	"Fe_hyd"	0	NA
"107"	"rock-net"	"Fe_hyd"	0	NA
"108"	"rock-retreat"	"Fe_hyd"	0	NA
"109"	"net-fly"	"frdA"	-0.009428092	0.993126329564518
"110"	"retreat-fly"	"frdA"	0.05713331275	0.411107365604312
"111"	"rock-fly"	"frdA"	-0.019673765	0.943878838289795
"112"	"retreat-net"	"frdA"	0.06656140475	0.289707672287613
"113"	"rock-net"	"frdA"	-0.010245673	0.991230316510896
"114"	"rock-retreat"	"frdA"	-0.07680707775	0.189762100108875
"115"	"net-fly"	"hbsC"	0	NA
"116"	"retreat-fly"	"hbsC"	0	NA
"117"	"rock-fly"	"hbsC"	0	NA
"118"	"retreat-net"	"hbsC"	0	NA
"119"	"rock-net"	"hbsC"	0	NA
"120"	"rock-retreat"	"hbsC"	0	NA
"121"	"net-fly"	"hbsT"	4.87890977618477e-19	1
"122"	"retreat-fly"	"hbsT"	0.0053871235	0.0415290089568645
"123"	"rock-fly"	"hbsT"	5.42101086242752e-20	1
"124"	"retreat-net"	"hbsT"	0.0053871235	0.0415290089568645
"125"	"rock-net"	"hbsT"	-4.33680868994202e-19	1
"126"	"rock-retreat"	"hbsT"	-0.0053871235	0.0415290089568645
"127"	"net-fly"	"hzsa"	0	NA
"128"	"retreat-fly"	"hzsa"	0	NA
"129"	"rock-fly"	"hzsa"	0	NA
"130"	"retreat-net"	"hzsa"	0	NA
"131"	"rock-net"	"hzsa"	0	NA
"132"	"rock-retreat"	"hzsa"	0	NA
"133"	"net-fly"	"isop_monooxy"	0.00159290125	0.947375104216891
"134"	"retreat-fly"	"isop_monooxy"	-4.33680868994202e-19	1
"135"	"rock-fly"	"isop_monooxy"	0.00385233975	0.576045101341979
"136"	"retreat-net"	"isop_monooxy"	-0.00159290125	0.947375104216891
"137"	"rock-net"	"isop_monooxy"	0.0022594385	0.867914200776936
"138"	"rock-retreat"	"isop_monooxy"	0.00385233975	0.576045101341979
"139"	"net-fly"	"malonylCoA_red"	0.01119718275	0.00357123568583873
"140"	"retreat-fly"	"malonylCoA_red"	0.00762205875	0.0430665036172957
"141"	"rock-fly"	"malonylCoA_red"	0.0048697315	0.258570556562698
"142"	"retreat-net"	"malonylCoA_red"	-0.003575124	0.504056454871998
"143"	"rock-net"	"malonylCoA_red"	-0.00632745125	0.10404980242832
"144"	"rock-retreat"	"malonylCoA_red"	-0.00275232725	0.694394807070892
"145"	"net-fly"	"mcrA"	0	NA
"146"	"retreat-fly"	"mcrA"	0	NA
"147"	"rock-fly"	"mcrA"	0	NA
"148"	"retreat-net"	"mcrA"	0	NA
"149"	"rock-net"	"mcrA"	0	NA
"150"	"rock-retreat"	"mcrA"	0	NA
"151"	"net-fly"	"mmoA"	0	NA
"152"	"retreat-fly"	"mmoA"	0	NA
"153"	"rock-fly"	"mmoA"	0	NA
"154"	"retreat-net"	"mmoA"	0	NA
"155"	"rock-net"	"mmoA"	0	NA
"156"	"rock-retreat"	"mmoA"	0	NA
"157"	"net-fly"	"mtrB"	-6.7762635780344e-20	1
"158"	"retreat-fly"	"mtrB"	0.00086561125	0.514606724284755
"159"	"rock-fly"	"mtrB"	-1.35525271560688e-20	1
"160"	"retreat-net"	"mtrB"	0.00086561125	0.514606724284755
"161"	"rock-net"	"mtrB"	5.42101086242752e-20	1
"162"	"rock-retreat"	"mtrB"	-0.00086561125	0.514606724284755
"163"	"net-fly"	"napA"	-0.021794412	0.557954689236022
"164"	"retreat-fly"	"napA"	-0.00671438424999998	0.975312645354284
"165"	"rock-fly"	"napA"	-0.01260346975	0.864728096571933
"166"	"retreat-net"	"napA"	0.01508002775	0.791812811682819
"167"	"rock-net"	"napA"	0.00919094225	0.94076700082405
"168"	"rock-retreat"	"napA"	-0.0058890855	0.983041982314604
"169"	"net-fly"	"narG"	0.16982555825	0.00344352989610974
"170"	"retreat-fly"	"narG"	0.23461902775	0.000222042565954816
"171"	"rock-fly"	"narG"	0.0724670172499999	0.268999656578414
"172"	"retreat-net"	"narG"	0.0647934695	0.355595975790786
"173"	"rock-net"	"narG"	-0.097358541	0.0959204970074913
"174"	"rock-retreat"	"narG"	-0.1621520105	0.00487323834351294
"175"	"net-fly"	"NiFe_hyd"	-0.24206294525	0.0327447057585142
"176"	"retreat-fly"	"NiFe_hyd"	-0.09788240575	0.580599410955064
"177"	"rock-fly"	"NiFe_hyd"	-0.35953432925	0.00221719535197951
"178"	"retreat-net"	"NiFe_hyd"	0.1441805395	0.273178415728113
"179"	"rock-net"	"NiFe_hyd"	-0.117471384	0.43569893611273
"180"	"rock-retreat"	"NiFe_hyd"	-0.2616519235	0.0207720141849238
"181"	"net-fly"	"nifH"	0.01343104175	0.958890220872043
"182"	"retreat-fly"	"nifH"	0.040420336	0.474163040859836
"183"	"rock-fly"	"nifH"	0.0302647579999999	0.688498909468587
"184"	"retreat-net"	"nifH"	0.02698929425	0.756145857416015
"185"	"rock-net"	"nifH"	0.01683371625	0.92391775096113
"186"	"rock-retreat"	"nifH"	-0.010155578	0.981365517616529
"187"	"net-fly"	"nirK"	0.1985672625	0.00908996632805992
"188"	"retreat-fly"	"nirK"	0.22954902975	0.00315932115587014
"189"	"rock-fly"	"nirK"	0.179834352	0.0174212713682351
"190"	"retreat-net"	"nirK"	0.03098176725	0.92515928207705
"191"	"rock-net"	"nirK"	-0.0187329105	0.981574663670765
"192"	"rock-retreat"	"nirK"	-0.04971467775	0.759013601534957
"193"	"net-fly"	"nirS"	0.0573627285	0.022018587715722
"194"	"retreat-fly"	"nirS"	0.0646579482499999	0.0102392699419146
"195"	"rock-fly"	"nirS"	0.0206008615	0.617820845575542
"196"	"retreat-net"	"nirS"	0.00729521974999998	0.970801811862887
"197"	"rock-net"	"nirS"	-0.036761867	0.177268361368489
"198"	"rock-retreat"	"nirS"	-0.04405708675	0.087330938943841
"199"	"net-fly"	"nosZ"	0.16076845	0.0483490686287242
"200"	"retreat-fly"	"nosZ"	0.19992311275	0.0135541094821667
"201"	"rock-fly"	"nosZ"	0.0595251804999999	0.692543891206676
"202"	"retreat-net"	"nosZ"	0.03915466275	0.884111604941852
"203"	"rock-net"	"nosZ"	-0.1012432695	0.285640099057906
"204"	"rock-retreat"	"nosZ"	-0.14039793225	0.092102828037948
"205"	"net-fly"	"nrfA"	-0.0561592465	0.0198091394210339
"206"	"retreat-fly"	"nrfA"	-0.050303883	0.0375044550059912
"207"	"rock-fly"	"nrfA"	-0.06095435325	0.0117382156378413
"208"	"retreat-net"	"nrfA"	0.0058553635	0.982594362871084
"209"	"rock-net"	"nrfA"	-0.00479510674999998	0.990246119910199
"210"	"rock-retreat"	"nrfA"	-0.01065047025	0.908672506878078
"211"	"net-fly"	"nuoF"	-0.2877133555	0.759900386111782
"212"	"retreat-fly"	"nuoF"	0.25762360925	0.813659392100947
"213"	"rock-fly"	"nuoF"	0.101309285	0.984915324726791
"214"	"retreat-net"	"nuoF"	0.54533696475	0.290836781823158
"215"	"rock-net"	"nuoF"	0.3890226405	0.560782406134923
"216"	"rock-retreat"	"nuoF"	-0.15631432425	0.948609474227536
"217"	"net-fly"	"nxrA"	0.0030435345	0.965881838355635
"218"	"retreat-fly"	"nxrA"	0.01845800325	0.0664182279997715
"219"	"rock-fly"	"nxrA"	0.00219343125	0.986617282451206
"220"	"retreat-net"	"nxrA"	0.01541446875	0.142871585821804
"221"	"rock-net"	"nxrA"	-0.000850103249999998	0.999186096493899
"222"	"rock-retreat"	"nxrA"	-0.016264572	0.115958713048741
"223"	"net-fly"	"omcB"	0	NA
"224"	"retreat-fly"	"omcB"	0	NA
"225"	"rock-fly"	"omcB"	0	NA
"226"	"retreat-net"	"omcB"	0	NA
"227"	"rock-net"	"omcB"	0	NA
"228"	"rock-retreat"	"omcB"	0	NA
"229"	"net-fly"	"pmoA"	-0.088739742	0.479388666442772
"230"	"retreat-fly"	"pmoA"	-0.03347601625	0.942725567479891
"231"	"rock-fly"	"pmoA"	0.05584386425	0.789780654107007
"232"	"retreat-net"	"pmoA"	0.05526372575	0.794782504071487
"233"	"rock-net"	"pmoA"	0.14458360625	0.128443692449777
"234"	"rock-retreat"	"pmoA"	0.0893198805	0.474107638098031
"235"	"net-fly"	"psaA"	0.26199901	0.166877650795395
"236"	"retreat-fly"	"psaA"	0.2553614315	0.182276066500824
"237"	"rock-fly"	"psaA"	0.1846466185	0.42440441946047
"238"	"retreat-net"	"psaA"	-0.00663757849999991	0.999930185567239
"239"	"rock-net"	"psaA"	-0.0773523914999999	0.909208430102277
"240"	"rock-retreat"	"psaA"	-0.070714813	0.928413286282667
"241"	"net-fly"	"psbA"	0.957694961999999	0.206018059166316
"242"	"retreat-fly"	"psbA"	0.85106919875	0.289855501097582
"243"	"rock-fly"	"psbA"	1.13755581525	0.110195988330961
"244"	"retreat-net"	"psbA"	-0.10662576325	0.995212514271168
"245"	"rock-net"	"psbA"	0.17986085325	0.978069014952108
"246"	"rock-retreat"	"psbA"	0.2864866165	0.920400297002632
"247"	"net-fly"	"rbcL"	0.28855336725	0.213124974025268
"248"	"retreat-fly"	"rbcL"	0.27348589725	0.250247551561338
"249"	"rock-fly"	"rbcL"	0.0874285424999999	0.919972007084725
"250"	"retreat-net"	"rbcL"	-0.01506747	0.999512065154109
"251"	"rock-net"	"rbcL"	-0.20112482475	0.493416258410528
"252"	"rock-retreat"	"rbcL"	-0.18605735475	0.554987079352444
"253"	"net-fly"	"rdhA"	0.00682947924999999	0.979382296435474
"254"	"retreat-fly"	"rdhA"	0.0197856655	0.683989794918994
"255"	"rock-fly"	"rdhA"	0.058069296	0.0285482353916113
"256"	"retreat-net"	"rdhA"	0.01295618625	0.881471392447804
"257"	"rock-net"	"rdhA"	0.05123981675	0.055918606195302
"258"	"rock-retreat"	"rdhA"	0.0382836305	0.186941917337529
"259"	"net-fly"	"rho"	0.28421121575	0.0197348905862077
"260"	"retreat-fly"	"rho"	0.2892033185	0.0177174208977809
"261"	"rock-fly"	"rho"	0.17775164575	0.181166385479531
"262"	"retreat-net"	"rho"	0.00499210275	0.999911481299085
"263"	"rock-net"	"rho"	-0.10645957	0.573275910436321
"264"	"rock-retreat"	"rho"	-0.11145167275	0.537878228397929
"265"	"net-fly"	"sdhA"	-0.146113283	0.943810755346637
"266"	"retreat-fly"	"sdhA"	0.290886935	0.69513481495592
"267"	"rock-fly"	"sdhA"	0.189062119	0.888771312202425
"268"	"retreat-net"	"sdhA"	0.437000218	0.386756635606919
"269"	"rock-net"	"sdhA"	0.335175402	0.597674767230536
"270"	"rock-retreat"	"sdhA"	-0.101824816	0.979583754908212
"271"	"net-fly"	"sor"	0	NA
"272"	"retreat-fly"	"sor"	0	NA
"273"	"rock-fly"	"sor"	0	NA
"274"	"retreat-net"	"sor"	0	NA
"275"	"rock-net"	"sor"	0	NA
"276"	"rock-retreat"	"sor"	0	NA
"277"	"net-fly"	"soxB"	0.0366463285000001	0.974873873606263
"278"	"retreat-fly"	"soxB"	0.12713903325	0.500613727399808
"279"	"rock-fly"	"soxB"	0.122876148	0.527773596485963
"280"	"retreat-net"	"soxB"	0.0904927047499999	0.738904688108123
"281"	"rock-net"	"soxB"	0.0862298195	0.765285717234777
"282"	"rock-retreat"	"soxB"	-0.00426288524999996	0.999957226089934
"283"	"net-fly"	"sqr"	0.14747521775	0.594882659249285
"284"	"retreat-fly"	"sqr"	0.258523279	0.169174626482403
"285"	"rock-fly"	"sqr"	0.07961217025	0.899697753866673
"286"	"retreat-net"	"sqr"	0.11104806125	0.774075679496914
"287"	"rock-net"	"sqr"	-0.0678630475	0.934261508365814
"288"	"rock-retreat"	"sqr"	-0.17891110875	0.442467100419987
"289"	"net-fly"	"ygfK"	-0.05647014275	1.36249585804826e-05
"290"	"retreat-fly"	"ygfK"	-0.039758206	0.000404599330806943
"291"	"rock-fly"	"ygfK"	-0.05134919775	3.56819915912077e-05
"292"	"retreat-net"	"ygfK"	0.01671193675	0.1195136876731
"293"	"rock-net"	"ygfK"	0.005120945	0.874401221246679
"294"	"rock-retreat"	"ygfK"	-0.01159099175	0.365019192265682
